,, 2^1, 2^2, 2^3, 2^4, 2^5,, 2^6, 2^7, 2^8, 2^9, 2^10, 2^11, 2^12, 2^13, 2^14, 2^15, 2^16
Insertion, unsorted,820,634,531,549,661,,1441,4417,17871,45516,170842,655019,2571969,10108335,38293654,151545390,608319266
Merge, unsorted,562,667,895,967,1249,,3007,10718,48699,154011,596787,2265188,7889893,30877226,122513912,488718408,1979353258
Quick, unsorted,116,51,61,117,269,,771,2651,10138,34267,129916,474811,2006955,7804292,30002105,119202061,474748253
Quick2, unsorted,185,64,50,87,421,,457,1084,2386,7233,17629,59359,160443,395437,905178,2028386,4147820
Quick3, unsorted,141,54,108,186,762,,2110,5143,11558,25795,56443,122128,261864,559212,1188054,2562784,5413608
,,,,,,,,,,,,,,,,,,
Insertion, sorted,90,37,45,59,102,,131,221,412,815,1551,2936,5778,11534,22895,45489,90720
Merge, sorted,106,74,118,282,845,,2408,9853,41018,153036,590637,2232468,7767762,30593733,121519422,485572859,1972983720
Quick, sorted,101,45,51,68,102,,149,223,439,796,1540,2925,5827,11533,22911,45440,90870
Quick2, sorted,98,38,45,57,432,,1723,5401,17786,61860,227770,872323,3410282,13467886,53555171,213792172,853615877
Quick3, sorted,97,59,89,195,479,,1120,2477,5427,11617,24838,52786,112093,234848,495316,1037624,2177350
