CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,7,204,164,0
43,3,123,83,0
86,4,209,169,0
129,9,333,293,0
172,7,164,124,0
215,3,83,43,0
258,4,169,129,0
301,9,293,253,0
344,7,124,84,0
387,3,43,3,0
430,4,129,89,0
473,9,253,213,0
516,7,84,44,0
559,3,3,0,562
565,4,89,49,0
608,9,213,173,0
651,6,814,774,0
694,8,308,268,0
737,5,609,569,0
780,2,222,182,0
823,7,44,4,0
866,4,49,9,0
909,9,173,133,0
952,6,774,734,0
995,8,268,228,0
1038,5,569,529,0
1081,2,182,142,0
1124,7,4,0,1128
1131,4,9,0,1140
1143,9,133,93,0
1186,6,734,694,0
1229,8,228,188,0
1272,5,529,489,0
1315,2,142,102,0
1358,9,93,53,0
1401,6,694,654,0
1444,8,188,148,0
1487,5,489,449,0
1530,2,102,62,0
1573,9,53,13,0
1616,6,654,614,0
1659,8,148,108,0
1702,5,449,409,0
1745,2,62,22,0
1788,9,13,0,1801
1804,1,596,556,0
1847,6,614,574,0
1890,8,108,68,0
1933,5,409,369,0
1976,2,22,0,1998
2001,6,574,534,0
2044,8,68,28,0
2087,5,369,329,0
2130,6,534,494,0
2173,8,28,0,2201
2204,5,329,289,0
2247,1,556,516,0
2290,6,494,454,0
2333,5,289,249,0
2376,1,516,476,0
2419,6,454,414,0
2462,5,249,209,0
2505,1,476,436,0
2548,6,414,374,0
2591,5,209,169,0
2634,1,436,396,0
2677,6,374,334,0
2720,5,169,129,0
2763,1,396,356,0
2806,6,334,294,0
2849,5,129,89,0
2892,1,356,316,0
2935,6,294,254,0
2978,5,89,49,0
3021,1,316,276,0
3064,6,254,214,0
3107,5,49,9,0
3150,1,276,236,0
3193,6,214,174,0
3236,5,9,0,3245
3248,6,174,134,0
3291,6,134,94,0
3334,6,94,54,0
3377,6,54,14,0
3420,6,14,0,3434
3437,1,236,196,0
3480,1,196,156,0
3523,1,156,116,0
3566,1,116,76,0
3609,1,76,36,0
3652,1,36,0,3688
